Time (s),Velocity Beam 1 (m/s),Velocity Beam 2 (m/s),Velocity Beam 3 (m/s),Velocity Beam 4 (m/s)
1720611590.657,"[0.1581, 0.1796, 0.1819]","[0.0938, 0.1279, -0.0354]","[0.0341, 0.0524, -0.0406]","[0.1002, 0.1075, 0.0474]"
1720611590.673,"[0.1495, 0.2197, 0.1765]","[0.0882, 0.0842, 0.0288]","[0.0289, 0.0104, -0.0299]","[0.0693, 0.0871, 0.0323]"
1720611590.673,"[0.1429, 0.1058, 0.1608]","[0.0977, 0.0751, 0.1087]","[0.0308, 0.0042, 0.048]","[0.0749, 0.0287, 0.0969]"
1720611590.688,"[0.1291, 0.1142, 0.1283]","[0.0848, 0.0738, 0.1255]","[0.0346, 0.009, 0.0612]","[0.0822, 0.0561, 0.117]"
1720611590.704,"[0.137, 0.1471, 0.2197]","[0.075, 0.0598, 0.1472]","[0.0132, 0.0067, 0.0757]","[0.0981, 0.0996, 0.1425]"
1720611590.711,"[0.1732, 0.1409, 0.2138]","[0.0909, 0.0593, 0.0442]","[-0.0044, -0.0008, 0.0517]","[0.1092, 0.0895, 0.0811]"
1720611590.711,"[0.1451, 0.1356, 0.1486]","[0.083, 0.0376, -0.3538]","[0.0116, 0.0255, 0.0065]","[0.0864, 0.079, 0.0219]"
1720611590.726,"[0.1348, 0.1954, 0.2305]","[0.0395, 0.0891, 0.0884]","[-0.0045, 0.0258, -0.0612]","[0.0224, 0.0816, -0.0097]"
1720611590.742,"[0.1514, 0.1262, 0.0454]","[0.0844, -0.029, 0.0393]","[-0.0192, -0.0769, -0.0566]","[0.1337, 0.0639, -0.04]"
1720611590.742,"[0.0216, 0.1477, 0.2099]","[-0.0347, -0.0469, -0.0594]","[-0.0941, -0.1632, -0.1801]","[0.0064, 0.0122, -0.0392]"
1720611590.758,"[0.1525, 0.0765, 0.0601]","[-0.0341, -0.089, 0.0129]","[-0.0868, -0.1209, -0.111]","[0.0727, 0.0397, 0.0698]"
1720611590.773,"[0.172, 0.1084, 0.1481]","[0.0617, -0.0815, -0.0146]","[-0.0272, -0.1081, -0.1905]","[0.0715, 0.0423, -0.0006]"
